producto,precio
1,3.78
10,3.39
11,3.2
12,4.35
13,3.93
14,3.52
15,4.31
16,3.97
17,3.61
18,4.46
19,4.44
2,4.3
20,3.44
21,4.63
22,4.15
23,3.7
24,4.78
26,4.13
28,3.85
29,3.65
3,3.2
30,4.35
31,4.35
32,4.22
33,0.0
34,0.0
35,4.35
36,3.87
37,3.57
38,3.78
4,3.52
40,4.7
42,4.67
43,4.46
44,3.74
45,5.26
46,3.81
47,3.98
48,4.95
49,4.68
5,2.35
50,4.18
52,4.31
53,3.42
54,3.83
55,3.92
57,3.62
58,6.26
59,5.97
60,3.44
61,3.7
62,4.44
63,3.55
64,3.95
66,4.86
67,4.35
68,4.18
69,4.6
7,2.77
70,4.53
71,3.74
72,3.45
73,5.05
74,1.62
75,4.54
76,3.72
77,4.13
78,4.05
79,3.53
81,5.0
82,3.52
83,4.84
84,4.03
85,4.74
87,5.22
88,3.78
89,5.37
9,3.44
91,4.29
94,3.95
95,3.66
96,5.42
97,3.83
98,3.31
