feature,correlation_pearson,pvalue_pearson,sign_pearson,correlation_spearman,pvalue_spearman,sign_spearman,correlation_kendall,pvalue_kendall,sign_kendall
cos_weekday,0.3749016209669041,1.1441603860300827e-27,-1.0,0.39187787999641344,2.7419528058848515e-30,-1.0,0.28450814791721646,7.312959032355532e-29,-1.0
udsstock_shifted1,0.3571297523413733,4.366552355594837e-25,1.0,0.3605569907087381,1.428297217570344e-25,1.0,0.25415073770165775,2.447389942985181e-26,1.0
roll4wd_udsstock_shifted1,0.24634498205171337,2.415066969083396e-12,1.0,0.2893878937652597,1.1978427636508385e-16,1.0,0.19713415240689092,1.575180757241006e-16,1.0
udsprevisionempresa_shifted-2,0.2086463606036577,3.4395008536827845e-09,-1.0,0.23776128913295352,1.4130515869789766e-11,-1.0,0.16137761481892338,4.1502381196219775e-11,-1.0
roll4wd_udsstock_shifted7,0.15056225874300916,2.2224109653624216e-05,1.0,0.19904315683319207,1.787245057454759e-08,1.0,0.13572328115115115,1.4074842220725733e-08,1.0
udsstock_shifted7,0.16137653742662567,5.368731909801566e-06,1.0,0.19597626782243177,2.9746646604605518e-08,1.0,0.13468795639076941,1.8598454859012608e-08,1.0
working_day,0.16423193226175561,3.6312544814225994e-06,1.0,0.18090294135645896,3.2368255057095456e-07,1.0,0.14816670651748506,3.9419666006978067e-07,1.0
udsprevisionempresa_shifted-3,0.1876367475385682,1.1412011784495214e-07,-1.0,0.17477894367187427,8.081355248365316e-07,-1.0,0.11812599413485089,1.3937904562039403e-06,-1.0
udsprevisionempresa_shifted-6,0.18607258305184282,1.4588704599892008e-07,1.0,0.171052205842198,1.3888062428113838e-06,1.0,0.11793319670462439,1.5462151919648907e-06,1.0
udsprevisionempresa_shifted-1,0.09938564327316433,0.005261089213839357,-1.0,0.17040246626380814,1.5244988665515441e-06,-1.0,0.11613578093622735,2.0063715289425567e-06,-1.0
udsprevisionempresa_shifted-5,0.10021951757589394,0.004890955727282196,1.0,0.16993825007873634,1.6291438205151126e-06,1.0,0.1179102709911702,1.5202377963252928e-06,1.0
roll4_udstock_shifted1,0.1474459471924879,3.2883445396611543e-05,1.0,0.1681333385463142,2.1053554734959725e-06,1.0,0.11371772965683015,1.913617255388685e-06,1.0
udsventa_shifted1,0.08510340484336938,0.01694086065637874,1.0,0.10414741439941969,0.0034443917425518254,1.0,0.07127586494296151,0.0032273807982174914,1.0
sin_weekday,0.10522299921996014,0.0031227251256838538,-1.0,0.10386675901298509,0.003533136582695977,-1.0,0.07247622596470656,0.004512794018472072,-1.0
quarter,0.08681859483560044,0.014838477271217163,-1.0,0.08730741717282287,0.014282954887305037,-1.0,0.06671056254212701,0.013965218812122255,-1.0
autumn,0.0958699764632149,0.00711491964599805,-1.0,0.0806146673517418,0.023721364111556606,-1.0,0.06602661995956402,0.023815793030713787,-1.0
month,0.07876053457832512,0.027144657217941244,-1.0,0.07829356083423139,0.02807112073332558,-1.0,0.05493891029660993,0.02879569954765482,-1.0
summer,0.09048823939438036,0.011095056900614233,1.0,0.07772782785078614,0.02922984575740308,1.0,0.063662183550217,0.029320273999370004,1.0
weekofyear,0.05612843479384773,0.11564061316561235,-1.0,0.05985874132509545,0.09333066238385283,-1.0,0.04062183532369769,0.0932064639546191,-1.0
roll4wd_udsprevisionempresa,0.04470156764288945,0.21032608642471792,1.0,0.05811013524162423,0.10331738154447163,1.0,0.04036927778534171,0.09630956270776446,1.0
promo,0.04160186403888117,0.24372427721451337,-1.0,0.037816307522051965,0.28933875435284545,-1.0,0.030973060449880758,0.28905074070734704,-1.0
spring,0.03129542942588392,0.3806136124686546,1.0,0.029534331633863237,0.4080072507288566,1.0,0.024189792684255047,0.4076617720217758,1.0
udsprevisionempresa,0.03982160964851834,0.2645063504289827,1.0,0.026194080645555777,0.4630742496994231,1.0,0.01776642215568469,0.4668003983687604,1.0
is_august,0.019652052405523257,0.5819859933659368,1.0,0.02312643259013351,0.5170927913831131,1.0,0.018941468417734895,0.5167485591360585,1.0
udsprevisionempresa_shifted-4,0.055111255304380186,0.1223991407261354,-1.0,0.020600545680146392,0.5638986004824502,-1.0,0.014184864876931743,0.5625922936680046,-1.0
udsprevisionempresa_shifted-7,0.020995234692611043,0.5564524983006257,1.0,0.009727312438378728,0.7852698358541378,-1.0,0.006618201989044426,0.7874237450087178,-1.0
festivo,0.012690387282889267,0.7222461428675738,1.0,0.004944288234200602,0.8898570687623394,-1.0,0.004049568781146295,0.8897531726168738,-1.0
winter,0.000594338665266118,0.9867183954709735,-1.0,0.004036548850618096,0.9099830862630114,-1.0,0.0033060941099599724,0.9098978101445321,-1.0
